"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"status","haven_labelled",2264,0,0,0,0,0,0,0,0,1,"0"
"progress","numeric",2264,0,99.9125441696113,0.282564283437294,99,100,100,100,100,2,"100"
"duration_in_seconds","numeric",2264,0,3105.15812720848,21595.4198581944,249,766,1056,1520.75,428136,1341,"587"
"finished","haven_labelled",2264,0,0.912544169611307,0.282564283437294,0,1,1,1,1,2,"1"
"q_recaptcha_score","numeric",2237,27,0.962494406727579,0.0775960438138582,0.200000002980232,0.899999976158142,1,1,1,8,"1"
"consent","haven_labelled",2264,0,1,0,1,1,1,1,1,1,"1"
"attention_check1","haven_labelled",2264,0,3.99779151943463,0.0555730107292041,2,4,4,4,4,3,"4"
"attention_check2","haven_labelled",2000,264,2.003,0.0774209080190826,2,2,2,2,4,2,"2"
"attention_check3","haven_labelled",2000,264,2.0005,0.0741788463824109,1,2,2,2,4,3,"2"
"attention_check1r","numeric",2264,0,0.00176678445229682,0.0420052648163222,0,0,0,0,1,2,"0"
"attention_check2r","numeric",2264,0,0.00132508833922261,0.0363856736809817,0,0,0,0,1,2,"0"
"attention_check3r","numeric",2264,0,0.00220848056537102,0.046952922507819,0,0,0,0,1,2,"0"
"attention_check_sum","numeric",2264,0,0.00530035335689046,0.0726263683300243,0,0,0,0,1,2,"0"
"age","numeric",2264,0,35.0861307420495,12.4218138865516,18,25,33,43,79,60,"19"
"gender","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,6,"Female"
"ethnicity","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,3,"Non-Hispanic or Latino"
"race_1","haven_labelled",2264,0,0.0154593639575972,0.123398127107034,0,0,0,0,1,2,"0"
"race_2","haven_labelled",2264,0,0.373674911660777,0.779734203762697,0,0,0,0,2,2,"0"
"race_3","haven_labelled",2264,0,0.00662544169611307,0.140858767523457,0,0,0,0,3,2,"0"
"race_4","haven_labelled",2264,0,1.54770318021201,1.94861611232693,0,0,0,4,4,2,"0"
"race_5","haven_labelled",2264,0,1.87941696113074,2.42228576551625,0,0,0,5,5,2,"0"
"race_6","haven_labelled",2264,0,0.325971731448763,1.36029045762902,0,0,0,0,6,2,"0"
"race_7","haven_labelled",2264,0,0.0680212014134276,0.686825951249596,0,0,0,0,7,2,"0"
"race_combined","factor",2213,51,NA,NA,NA,NA,NA,NA,NA,9,"Black/African American"
"first_gen","haven_labelled",2264,0,1.5547703180212,0.497100955045809,1,1,2,2,2,2,"2"
"financial_ind","haven_labelled",2264,0,1.97835689045936,1.06109013712922,1,1,2,3,4,4,"1"
"support_others","haven_labelled",2264,0,1.59143109540636,0.68732407888644,1,1,1,2,3,3,"1"
"spirtual","haven_labelled",2264,0,2.76236749116608,1.06446099174061,1,2,3,4,4,4,"3"
"religious","haven_labelled",2264,0,2.36793286219081,1.18663047348313,1,1,2,3,4,4,"1"
"organized_religion","haven_labelled",2264,0,1.88162544169611,1.36431958382615,1,1,2,2,8,8,"2"
"highesteducation","factor",1580,684,NA,NA,NA,NA,NA,NA,NA,10,"Four-year degree"
"highest_ed_recoded","factor",1994,270,NA,NA,NA,NA,NA,NA,NA,5,"2"
"highest_ed_recoded_currentcoded","factor",1986,278,NA,NA,NA,NA,NA,NA,NA,4,"1"
"current_student","haven_labelled",2000,264,1.799,0.422715441132786,1,2,2,2,3,3,"2"
"current_ed","haven_labelled",420,1844,3.72857142857143,1.38096257016043,1,3,4,5,6,6,"5"
"employed","haven_labelled",1844,420,1.27277657266811,0.513408589514502,1,1,1,2,4,3,"1"
"hours_employed_1","numeric",1380,884,37.5775362318841,33.1601329742668,0,31.75,40,40,1200,63,"40"
