"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"status","haven_labelled",264,0,0,0,0,0,0,0,0,1,"0"
"progress","numeric",264,0,99.25,0.433835138914143,99,99,99,99.25,100,2,"99"
"duration_in_seconds","numeric",264,0,16995.0757575758,61530.6150281572,249,844.5,1132,2013.5,428136,245,"758"
"finished","haven_labelled",264,0,0.25,0.433835138914143,0,0,0,0.25,1,2,"0"
"q_recaptcha_score","numeric",264,0,0.92878786767974,0.0889570377256935,0.300000011920929,0.899999976158142,0.899999976158142,1,1,6,"0.899999976158142"
"consent","haven_labelled",264,0,1,0,1,1,1,1,1,1,"1"
"attention_check1","haven_labelled",264,0,3.98863636363636,0.137411002527541,2,4,4,4,4,3,"4"
"attention_check2","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"attention_check3","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"attention_check1r","numeric",264,0,0.00757575757575758,0.0868731973273262,0,0,0,0,1,2,"0"
"attention_check2r","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"attention_check3r","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"attention_check_sum","numeric",264,0,0.00757575757575758,0.0868731973273262,0,0,0,0,1,2,"0"
"age","numeric",264,0,19.6590909090909,2.18473635358363,18,18,19,20,36,12,"18"
"gender","factor",264,0,NA,NA,NA,NA,NA,NA,NA,4,"Female"
"ethnicity","factor",264,0,NA,NA,NA,NA,NA,NA,NA,3,"Non-Hispanic or Latino"
"race_1","haven_labelled",264,0,0.0265151515151515,0.160966590060069,0,0,0,0,1,2,"0"
"race_2","haven_labelled",264,0,0.128787878787879,0.491839150038213,0,0,0,0,2,2,"0"
"race_3","haven_labelled",264,0,0.0227272727272727,0.260619591981979,0,0,0,0,3,2,"0"
"race_4","haven_labelled",264,0,0.939393939393939,1.6988368902231,0,0,0,0,4,2,"0"
"race_5","haven_labelled",264,0,2.87878787878788,2.47583086036387,0,0,5,5,5,2,"5"
"race_6","haven_labelled",264,0,0.772727272727273,2.01360735669444,0,0,0,0,6,2,"0"
"race_7","haven_labelled",264,0,0.291666666666667,1.40144095679646,0,0,0,0,7,2,"0"
"race_combined","factor",224,40,NA,NA,NA,NA,NA,NA,NA,7,"White"
"first_gen","haven_labelled",264,0,1.40909090909091,0.492599922573403,1,1,1,2,2,2,"1"
