"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"status","haven_labelled",2264,0,0,0,0,0,0,0,0,1,"0"
"progress","numeric",2264,0,99.9125441696113,0.282564283437294,99,100,100,100,100,2,"100"
"duration_in_seconds","numeric",2264,0,3105.15812720848,21595.4198581944,249,766,1056,1520.75,428136,1341,"587"
"finished","haven_labelled",2264,0,0.912544169611307,0.282564283437294,0,1,1,1,1,2,"1"
"q_recaptcha_score","numeric",2237,27,0.962494406727579,0.0775960438138582,0.200000002980232,0.899999976158142,1,1,1,8,"1"
"consent","haven_labelled",2264,0,1,0,1,1,1,1,1,1,"1"
"attention_check1","haven_labelled",2264,0,3.99779151943463,0.0555730107292041,2,4,4,4,4,3,"4"
"attention_check2","haven_labelled",2000,264,2.003,0.0774209080190826,2,2,2,2,4,2,"2"
"attention_check3","haven_labelled",2000,264,2.0005,0.0741788463824109,1,2,2,2,4,3,"2"
"attention_check1r","numeric",2264,0,0.00176678445229682,0.0420052648163222,0,0,0,0,1,2,"0"
"attention_check2r","numeric",2264,0,0.00132508833922261,0.0363856736809817,0,0,0,0,1,2,"0"
"attention_check3r","numeric",2264,0,0.00220848056537102,0.046952922507819,0,0,0,0,1,2,"0"
"attention_check_sum","numeric",2264,0,0.00530035335689046,0.0726263683300243,0,0,0,0,1,2,"0"
"age","matrix",2264,0,2.4762813664776e-17,1,-1.37549402189544,-0.811969236873624,-0.167940911134404,0.63709449603962,3.53522196186611,60,"-1.29499048117804"
"gender","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,6,"Female"
"ethnicity","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,3,"Non-Hispanic or Latino"
"race_1","matrix",2264,0,-1.5865854947351e-17,1,-0.125280377587805,-0.125280377587805,-0.125280377587805,-0.125280377587805,7.97857033266336,2,"-0.125280377587805"
"race_2","matrix",2264,0,-1.62668636903656e-17,1,-0.479233705354422,-0.479233705354422,-0.479233705354422,-0.479233705354422,2.08574291148343,2,"-0.479233705354422"
"race_3","matrix",2264,0,-4.01609448005813e-18,1,-0.047036061812835,-0.047036061812835,-0.047036061812835,-0.047036061812835,21.2508927270389,2,"-0.047036061812835"
"race_4","matrix",2264,0,1.69016295824281e-17,1,-0.794257612066973,-0.794257612066973,-0.794257612066973,1.25848123921114,1.25848123921114,2,"-0.794257612066973"
"race_5","matrix",2264,0,-5.02085214540946e-17,1,-0.77588573069544,-0.77588573069544,-0.77588573069544,1.28828030255306,1.28828030255306,2,"-0.77588573069544"
"race_6","matrix",2264,0,4.10491680920763e-17,1,-0.239633917609721,-0.239633917609721,-0.239633917609721,-0.239633917609721,4.17118876099523,2,"-0.239633917609721"
"race_7","matrix",2264,0,4.1873777114098e-18,1,-0.0990370286528505,-0.0990370286528505,-0.0990370286528505,-0.0990370286528505,10.0927735563496,2,"-0.0990370286528505"
"race_combined","factor",2213,51,NA,NA,NA,NA,NA,NA,NA,9,"Black/African American"
"first_gen","matrix",2264,0,1.18923282128138e-16,1,-1.11601137030622,-1.11601137030622,0.895652437315816,0.895652437315816,0.895652437315816,2,"0.895652437315816"
"financial_ind","matrix",2264,0,-1.70573235165862e-17,1,-0.922029954124641,-0.922029954124641,0.0203970509038859,0.962824055932413,1.90525106096094,4,"-0.922029954124641"
"support_others","matrix",2264,0,2.43469953139063e-17,1,-0.860483596565626,-0.860483596565626,-0.860483596565626,0.594434149979988,2.0493518965256,3,"-0.860483596565626"
"spirtual","matrix",2264,0,-1.20502941706831e-16,1,-1.65564309527609,-0.716200496853766,0.223242101568555,1.16268469999088,1.16268469999088,4,"0.223242101568555"
