"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"status","haven_labelled",2000,0,0,0,0,0,0,0,0,1,"0"
"progress","numeric",2000,0,100,0,100,100,100,100,100,1,"100"
"duration_in_seconds","numeric",2000,0,1271.689,999.878692131445,300,758.75,1049,1493.25,20638,1228,"587"
"finished","haven_labelled",2000,0,1,0,1,1,1,1,1,1,"1"
"q_recaptcha_score","numeric",1973,27,0.967004556909347,0.0748290750984418,0.200000002980232,0.899999976158142,1,1,1,8,"1"
"consent","haven_labelled",2000,0,1,0,1,1,1,1,1,1,"1"
"attention_check1","haven_labelled",2000,0,3.999,0.0316148659632607,3,4,4,4,4,2,"4"
"attention_check2","haven_labelled",2000,0,2.003,0.0774209080190826,2,2,2,2,4,2,"2"
"attention_check3","haven_labelled",2000,0,2.0005,0.0741788463824109,1,2,2,2,4,3,"2"
"attention_check1r","numeric",2000,0,0.001,0.0316148659632607,0,0,0,0,1,2,"0"
"attention_check2r","numeric",2000,0,0.0015,0.0387104540095413,0,0,0,0,1,2,"0"
"attention_check3r","numeric",2000,0,0.0025,0.0499499499374061,0,0,0,0,1,2,"0"
"attention_check_sum","numeric",2000,0,0.005,0.0705513199335929,0,0,0,0,1,2,"0"
"age","matrix",2000,0,-2.02282418246269e-16,1,-1.62504020817842,-0.775234896018178,-0.180371177506011,0.669434134654228,3.55877219599904,60,"-0.350332239938059"
"gender","factor",2000,0,NA,NA,NA,NA,NA,NA,NA,6,"Female"
"ethnicity","factor",2000,0,NA,NA,NA,NA,NA,NA,NA,3,"Non-Hispanic or Latino"
"race_1","matrix",2000,0,-3.41371218402428e-18,1,-0.119128852802248,-0.119128852802248,-0.119128852802248,-0.119128852802248,8.39007491878691,2,"-0.119128852802248"
"race_2","matrix",2000,0,-1.23362312118985e-16,1,-0.504557025239909,-0.504557025239909,-0.504557025239909,-0.504557025239909,1.9809455621488,2,"-0.504557025239909"
"race_3","matrix",2000,0,-4.97387911023092e-19,1,-0.0387492226164612,-0.0387492226164612,-0.0387492226164612,-0.0387492226164612,25.7940658550244,2,"-0.0387492226164612"
"race_4","matrix",2000,0,1.6208280377572e-17,1,-0.828249642613288,-0.828249642613288,-0.828249642613288,1.20676176429897,1.20676176429897,2,"-0.828249642613288"
"race_5","matrix",2000,0,-1.92561082097004e-17,1,-0.732809918487297,-0.732809918487297,-0.732809918487297,1.36392804571098,1.36392804571098,2,"-0.732809918487297"
"race_6","matrix",2000,0,-1.06380697436834e-17,1,-0.215752610427619,-0.215752610427619,-0.215752610427619,-0.215752610427619,4.63262065760876,2,"-0.215752610427619"
"race_7","matrix",2000,0,-2.29476810817419e-18,1,-0.0743481814604474,-0.0743481814604474,-0.0743481814604474,-0.0743481814604474,13.4435029931664,2,"-0.0743481814604474"
"race_combined","factor",1989,11,NA,NA,NA,NA,NA,NA,NA,8,"Black/African American"
"first_gen","matrix",2000,0,-1.48405159688947e-16,1,-1.16049305532407,-1.16049305532407,0.861271849421698,0.861271849421698,0.861271849421698,2,"0.861271849421698"
"financial_ind","matrix",2000,0,2.22135813432792e-17,1,-0.834926687097814,-0.834926687097814,-0.834926687097814,0.185142570199454,2.22528108479399,4,"-0.834926687097814"
"support_others","matrix",2000,0,-1.24464783098077e-16,1,-0.916399980123245,-0.916399980123245,0.514357209764725,0.514357209764725,1.94511439965269,3,"-0.916399980123245"
