"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"status","haven_labelled",264,0,0,0,0,0,0,0,0,1,"0"
"progress","numeric",264,0,99.25,0.433835138914143,99,99,99,99.25,100,2,"99"
"duration_in_seconds","numeric",264,0,16995.0757575758,61530.6150281572,249,844.5,1132,2013.5,428136,245,"758"
"finished","haven_labelled",264,0,0.25,0.433835138914143,0,0,0,0.25,1,2,"0"
"q_recaptcha_score","numeric",264,0,0.92878786767974,0.0889570377256935,0.300000011920929,0.899999976158142,0.899999976158142,1,1,6,"0.899999976158142"
"consent","haven_labelled",264,0,1,0,1,1,1,1,1,1,"1"
"attention_check1","haven_labelled",264,0,3.98863636363636,0.137411002527541,2,4,4,4,4,3,"4"
"attention_check2","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"attention_check3","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"attention_check1r","numeric",264,0,0.00757575757575758,0.0868731973273262,0,0,0,0,1,2,"0"
"attention_check2r","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"attention_check3r","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"attention_check_sum","numeric",264,0,0.00757575757575758,0.0868731973273262,0,0,0,0,1,2,"0"
"age","matrix",264,0,-4.39062043640443e-16,1,-0.759400971366407,-0.759400971366407,-0.30167983794008,0.156041295486247,7.47957943030748,12,"-0.759400971366407"
"gender","factor",264,0,NA,NA,NA,NA,NA,NA,NA,4,"Female"
"ethnicity","factor",264,0,NA,NA,NA,NA,NA,NA,NA,3,"Non-Hispanic or Latino"
"race_1","matrix",264,0,7.64773214243374e-18,1,-0.164724564925285,-0.164724564925285,-0.164724564925285,-0.164724564925285,6.04774474082831,2,"-0.164724564925285"
"race_2","matrix",264,0,1.83690131708074e-17,1,-0.26184958797581,-0.26184958797581,-0.26184958797581,-0.26184958797581,3.80452048411912,2,"-0.26184958797581"
"race_3","matrix",264,0,-1.07155828067285e-17,1,-0.0872047744163619,-0.0872047744163619,-0.0872047744163619,-0.0872047744163619,11.4238254485434,2,"-0.0872047744163619"
"race_4","matrix",264,0,-5.38786877329132e-17,1,-0.552962997684005,-0.552962997684005,-0.552962997684005,-0.552962997684005,1.8015891214866,2,"-0.552962997684005"
"race_5","matrix",264,0,-9.0744436375908e-17,1,-1.16275627906374,-1.16275627906374,0.856767784573285,0.856767784573285,0.856767784573285,2,"0.856767784573285"
